Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000389253363450158,-2.22107228316211E-08,0.0190986509331325,0,0,0,0.998884052409043,0.00153555230282343,-5.26477667411161E-08,5.27833756567881E-06,0.0020826749681085,7.83294080103356E-10,0.0033613800402648,0,0,0,0,0,0,package://urdf_manipulator/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf_manipulator/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-0.00031030880564265,0.00858811851828671,0.0175565041510017,0,0,0,0.185821769445055,0.000114508954668787,-1.61883570331381E-07,8.34624055343117E-14,9.70669043908046E-05,2.45858972240209E-06,0.000186683444251279,0,0,0,0,0,0,package://urdf_manipulator/meshes/link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf_manipulator/meshes/link_1.STL,,link_1-1,Origin_joint_1,Axis_joint_1,joint_1,continuous,0,0,0.0465,0,0,-0.003602,base_link,0,0,1,,,,,,,,,,,,
link_2,0.214940656225411,-0.00302610888444859,-0.000524095480016116,0,0,0,0.177693654848771,0.000101230360035866,-6.59102546085614E-06,-1.97978692210085E-13,0.000776536430152929,3.16142089929914E-07,0.000744380292404554,0,0,0,0,0,0,package://urdf_manipulator/meshes/link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf_manipulator/meshes/link_2.STL,,link_2-1,Origin_joint_2,Axis_joint_2,joint_2,revolute,0,0,0.0305,3.1416,-1.5708,0,link_1,0,0,-1,0,0,-0.8,1.7,,,,,,,,
link_3,0.197497508435358,0.00242647613318699,-0.000695439790085717,0,0,0,0.165504845537909,7.71736334227953E-05,-1.14123152510865E-05,-3.16141783398318E-07,0.000606239282129823,-1.20363410206295E-09,0.000568330445759073,0,0,0,0,0,0,package://urdf_manipulator/meshes/link_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf_manipulator/meshes/link_3.STL,,link_3-1,Origin_joint_3,Axis_joint_3,joint_3,revolute,0.2992,-0.0316,0,0,0,0,link_2,0,0,-1,0,0,-0.6,2.95,,,,,,,,
link_4,0.0433079332622105,0.0179483567578146,-0.000332863244781619,0,0,0,0.0881895702260829,3.69742495119384E-05,-1.88523373751598E-06,-1.49720289687486E-09,2.80669267703083E-05,1.03142420121299E-08,2.67957172555677E-05,0,0,0,0,0,0,package://urdf_manipulator/meshes/link_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf_manipulator/meshes/link_4.STL,,link_4-1,Origin_joint_4,Axis_joint_4,joint_4,revolute,0.2967,-0.00185,0,0,0,0,link_3,0,0,1,0,0,-2,1.75,,,,,,,,
end_effector,-2.58402023736726E-13,8.91963369484272E-14,0.00153480871595302,0,0,0,0.00087155581094016,4.81778179564309E-08,1.40775800498868E-22,8.54751513362795E-24,2.53018532990969E-08,2.36132539112655E-22,7.21542244154594E-08,0,0,0,0,0,0,package://urdf_manipulator/meshes/end_effector.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://urdf_manipulator/meshes/end_effector.STL,,ring-1,Origin_end_effector,Axis_end_effector,end_effector,revolute,0.070005,0.032129,-0.0004,1.5708,-0.039089,1.5708,link_4,0,0,1,0,0,0,3.14,,,,,,,,
